ImageIndex,Red,Green,blue,ExGI,CanopyCover
0,0.1957605698529411,0.2632257199754902,0.2325405943627451,0.0981502757352941,0.18359375
1,0.2001292509191176,0.2694431678921569,0.223178040747549,0.115579044117647,0.239501953125
2,0.1919548483455882,0.2623975566789215,0.2164483762254902,0.1163918887867646,0.237548828125
3,0.2002671185661764,0.2553806678921568,0.217468022365196,0.0930261948529411,0.20703125
4,0.1940190333946078,0.2668121936274509,0.2181200214460784,0.1214853324142156,0.256103515625
5,0.216409122242647,0.2909658394607843,0.2617091758578431,0.1038133808210783,0.224365234375
6,0.2164981617647058,0.2873630897671568,0.250442325367647,0.1077856924019607,0.20703125
7,0.2006232766544117,0.274789368872549,0.2307607613357843,0.1181946997549019,0.22509765625
8,0.2006424249387255,0.2861462162990196,0.230795228247549,0.1408547794117646,0.248291015625
9,0.1998640471813725,0.2787406173406863,0.2327090992647058,0.1249080882352941,0.204833984375
10,0.2494341681985294,0.3330796185661764,0.3090102251838235,0.1077148437499999,0.15234375
11,0.2512034696691176,0.3220233992034313,0.3084941789215686,0.0843491498161764,0.1259765625
12,0.235888671875,0.3007544424019608,0.2759870940563725,0.0896331188725489,0.145751953125
13,0.2179773667279411,0.2875526577818627,0.2544395297181372,0.102688419117647,0.15869140625
14,0.2387025122549019,0.3090379901960784,0.2855507046568627,0.0938227634803922,0.134033203125
15,0.2433488434436274,0.3074821920955882,0.2920659083946078,0.0795496323529412,0.143310546875
16,0.229721009497549,0.296273743872549,0.2705690870098039,0.0922573912377451,0.14501953125
17,0.2339556525735294,0.3011757046568627,0.2738290824142156,0.0945666743259803,0.170654296875
18,0.2261096430759804,0.2957021675857843,0.2661707261029412,0.099123965992647,0.1640625
19,0.2250708486519607,0.2951535692401961,0.2691913679534313,0.096044921875,0.15283203125
20,0.2205939797794117,0.2984384574142157,0.2517300474877451,0.1245528875612745,0.24951171875
21,0.2705623851102941,0.329672181372549,0.3475509344362745,0.0412310431985293,0.099609375
22,0.249923406862745,0.323388671875,0.3107383578431372,0.0861155790441176,0.14453125
23,0.2331121706495098,0.3038507199754902,0.2845348881740196,0.0900543811274509,0.145751953125
24,0.2565889246323529,0.3334587545955882,0.3237074908088235,0.0866210937499999,0.111328125
25,0.2327158011642157,0.3154450061274509,0.2907465916053922,0.1074276194852941,0.154052734375
26,0.2531594669117647,0.3270957797181372,0.3150888480392156,0.0859432444852941,0.1279296875
27,0.2425599341299019,0.315072571997549,0.3056755514705882,0.0819096583946078,0.1396484375
